nombre,categoria,direccion,telefonos,telefonos_notas,email,instagram,web,etiquetas,latitud,longitud,fuente,estado_confirmacion,nombre_relacionado_osm,posible_duplicado,url_origen,fecha_extraccion
Cabañas Ioká Ioká,hostel,,+54 2656 47 9036,,,,http://www.cabanias.com/cabs/mostrar.asp?id=ioka,,-32.4156046,-65.0112472,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583599764,2026-09-01
Complejo Don Gregorio,chalet,"Neptuno 455, Villa de Merlo",+54 2656 473367,,,,https://dgregorio.com,,-32.3479328,-65.00577,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583605679,2026-09-01
Cabañas Lynch,hostel,Avenida De Los Incas 2950,+54 2656 47 9731,,,,http://cabanaslynch.blogspot.com/,,-32.3161777,-65.0001852,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583631472,2026-09-01
Cabañas Dalga Inn,chalet,"El Zorzal, Villa de Merlo",+54 2656 478281,,,,https://www.dalgainn.com.ar/,,-32.3528575,-64.9771054,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583708642,2026-09-01
Cabañas Duplex Aguaribay,chalet,"Avenida Dos Venados, Villa de Merlo",+54 2656 47 9604,,,,www.aguaribaycabanias.com.ar,,-32.3208522,-64.9996814,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583755017,2026-09-01
Cabañas Sierras Doradas,chalet,"Ruta Provincial 5 2350, Villa de Merlo",+54 2656 476521,,reservas@sierrasdoradas.com,,https://www.todocabanias.com.ar/web/listings/sierras-doradas/,,-32.3505415,-64.9816171,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583765193,2026-09-01
Cabañas y Apart El Rincón de Iri-Nan,chalet,"Malvinas Argentinas, Villa de Merlo",+54 2656 473651,,,,https://www.elrincondeirinan.com.ar/,,-32.348542,-64.9899454,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583791940,2026-09-01
Cabañas El Francés,hostel,Juan Bautista Alberdi 36,+54 2656 47 3504,,cabelfrances@yahoo.com.ar,,http://www.cabañaselfrances.com.ar,,-32.3479255,-64.984163,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583850591,2026-09-01
Cabañas Pehuén,chalet,"Hipólito Yrigoyen 58, Villa de Merlo",+54 9 266 429 8499,,,,https://www.cabanias-pehuen.com.ar/,,-32.3517425,-64.9718072,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2583872346,2026-09-01
Posada De Campo Maia,hostel,Av.José Alberto Mercau 2500,+54 2656 47 7955,,reservas@posada-villademerlo.com.ar,,https://www.posada-villademerlo.com.ar/,,-32.369735,-64.9909187,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2584425966,2026-09-01
Cabañas Las Lajas,chalet,"Cerro Las Lajas 1341, Villa de Merlo",+54 2656 47 8867,,,,https://www.argentinaturismo.com.ar/complejolaslajas/,,-32.3519489,-64.9971007,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2584453381,2026-09-01
Cabaña Mapaná,chalet,"Cañada de Los Zainos 44, Villa de Merlo",+54 11 5462-9953,,,,https://www.argentinaturismo.com.ar/mapana/,,-32.3511926,-65.0123263,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2584463013,2026-09-01
Cabañas La Herradura,chalet,Cuesta de la Granadilla 801,+54 2656 47 7797,,,,https://www.argentinaturismo.com.ar/laherradura/,,-32.3770247,-65.0091376,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2586112026,2026-09-01
Complejo Pasos Malos,hotel,Avenida Dos Venados,+54 2656 472037,,,,http://www.complejopasosmalos.com/,,-32.3305813,-64.9982784,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2586203571,2026-09-01
Cabañas Don Fausto,chalet,Las Acasias,+54 2656 47 9755,,,,https://www.argentinaturismo.com.ar/donfausto/,,-32.3199962,-65.0078898,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2586249993,2026-09-01
Cabañas Palas de Rey,chalet,"Juan B. Justo 3147, Villa de Merlo",+54 2656 47 8075,,,,https://www.alojamientosdelsur.com.ar/palasderey,,-32.351301,-64.9701738,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2586842808,2026-09-01
Complejo Sagrado Corazón de Jesús,chalet,Mundial 78,+54 2656 47 3424,,,,http://www.cabanias-sagcorazon.com.ar,,-32.3395013,-65.0020015,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2586870254,2026-09-01
Complejo Mi Viejo Vicente,chalet,"Sargento Baigorria, Villa de Merlo",+54 2656 473978,,,,https://www.miviejovicente.com.ar/,,-32.3506589,-65.0057301,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2587409370,2026-09-01
Cabañas Costa del Sol,chalet,Esmeralda,+54 9 2657 21 3226,,,,https://www.argentinaturismo.com.ar/costadelsol/,,-32.3624945,-65.0039951,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2589188122,2026-09-01
Camino del Cerro,chalet,Camino del Cerro,+54 9 341 547 7114,,,,https://www.argentinaturismo.com.ar/caminodelcerro/,,-32.3718789,-64.9902439,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2589224609,2026-09-01
Cabañas Cinco Soles,chalet,"Neptuno 1022, Villa de Merlo",+54 2656 478471,,,,https://www.complejocincosoles.com.ar/,,-32.3484099,-64.9994264,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2591638190,2026-09-01
Cabañas de Troncos La Laguna,chalet,"Joaquin C Mansilla 330, Villa de Merlo",+54 2656 474225,,,,https://www.lagunamerlo.com.ar,,-32.3496812,-64.9911152,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2591660509,2026-09-01
El Refugio de los Pajaros,chalet,"Lola Mora, Villa de Merlo",+54 2656 474167,,,,https://www.argentinaturismo.com.ar/refugiodelospajaros/,,-32.344697,-64.9892492,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2595952812,2026-09-01
Cabañas Cerro Nevado,chalet,"Cañada de Los Zainos 45, Villa de Merlo",+54 2656 470411,,,,https://www.argentinaturismo.com.ar/cerronevado/,,-32.351196,-65.012098,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2595958533,2026-09-01
Cabañas Kamiare,chalet,"Poeta Conti 61, Villa de Merlo",+54 2656 473380,,,,http://www.cabanias.com/cabs/mostrar.asp?id=kamiare,,-32.3514884,-65.0099117,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2607889043,2026-09-01
Naguan Apart Hotel,hotel,"2 de Abril 552, Villa de Merlo",+54 2656 478077,,,,,,-32.345564,-64.9925021,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2607891599,2026-09-01
Altos de Merlo Apart,chalet,Cuesta de la Granadilla,+54 9 11 6396 5069,,,,http://www.apartaltosdemerlo.com.ar,,-32.378236,-65.0086787,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2607928709,2026-09-01
La Loma Resort,hotel,La Herradura 84,(054) 02656-473378 / 474331,,,,https://lalomaresort.com.ar/,,-32.3347951,-64.9961583,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2607939209,2026-09-01
Tierra Mía Apart,hotel,"Avenida José Alberto Mercau 549, Villa de Merlo",+54 2656 473 653,,,,http://www.tierramiamerlo.com.ar,,-32.3523173,-64.9959258,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2607966196,2026-09-01
Cabañas La Morada de Merlo,chalet,Amatista,+54 266 434 5846; +598 266 485 3461,,,,https://www.lamoradamerlo.com.ar/,,-32.3622345,-65.0033544,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2608001905,2026-09-01
Cabañas Rincón de los Duendes,chalet,"El Crespín 28, Villa de Merlo",+54 2656 471054,,,,https://www.rincondelosduendes.com.ar/,,-32.345641,-64.981631,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2609604488,2026-09-01
Cabañas Sombras del Viento,chalet,,"(0348) 15-4505365, (0348) 15-4373005",,,,http://www.cabanias.com/cabs/mostrar.asp?id=sombrasdelviento,,-32.4092432,-65.0014422,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2612378524,2026-09-01
Toay Cabañas,chalet,Damiana Vega,"+54 (011) 15-56365438, (011) 15-50415648",,,,http://www.cabanias.com/cabs/mostrar.asp?id=toay,,-32.3667754,-64.9732652,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2612386024,2026-09-01
Cabañas Kupal,chalet,El Crespín 1530,+54 9 266 454 6095,,,,http://www.cabanias.com/cabs/mostrar.asp?id=kupal,,-32.3948374,-64.9983832,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2612405899,2026-09-01
Cabañas El Refugio de la Luna,chalet,Villa de Merlo,,,,,http://www.cabanias.com/cabs/mostrar.asp?id=elrefugiodelaluna,,-32.3412546,-65.0003091,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2614774259,2026-09-01
Cabañas El Desafío,chalet,"La Mazamorra, Villa de Merlo",+54 2656 477062,,,,http://www.cabanias.com/cabs/mostrar.asp?id=eldesafio,,-32.3424602,-64.9806672,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2614859049,2026-09-01
Cabañas Inticami,chalet,"Cerro Las Lajas 1250, Villa de Merlo",+54 2656 47 4120,,,,http://www.inticami.com.ar,,-32.3518813,-64.9982212,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2614872939,2026-09-01
Cabañas Babin Kuk,chalet,"Comechingones 1181, Villa de Merlo",+54 2656 473197,,,,http://www.cabanias.com/cabs/mostrar.asp?id=babinkuk,,-32.340831,-64.9988097,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2614884328,2026-09-01
Cabañas Ruca Mawida,chalet,,+54 9 11 4144 5951,,,,http://www.cabanias.com/cabs/mostrar.asp?id=rucamawida,,-32.3797806,-65.0173304,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618679855,2026-09-01
Duplex Cerro de los Pájaros,chalet,"Cerro Azul, Villa de Merlo",+54 2656 47 5701,,,,http://www.cerrodelospajaros.com.ar,,-32.3467625,-65.0111777,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618694960,2026-09-01
Cabañas Kidamalau,chalet,Niña Mercedes,"+54  (011) 15-6548-6615, (011) 4754-0598",,,,http://www.cabanias.com/cabs/mostrar.asp?id=kidamalau,,-32.3336936,-65.0115326,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618710820,2026-09-01
Complejo Corazón de Montaña,chalet,Camino de Circuito Vega,+54 9 11 5409 4929,,,,http://www.cabanias.com/cabs/mostrar.asp?id=corazondemontana,,-32.3677584,-64.977243,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618719795,2026-09-01
Dorado Del Sol,chalet,,+54 9 11 5327 2929,,,,http://www.cabanias.com/cabs/mostrar.asp?id=doradodelsol,,-32.3769295,-64.9828891,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618795707,2026-09-01
Las Nubes Apart,chalet,"El Mollar, Villa de Merlo",+54 2656 474385,,,,http://www.lasnubesapart.com.ar/,,-32.3314035,-65.0112746,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618849895,2026-09-01
Cabañas Ayres del Cerro,chalet,Cuesta de la Granadilla 2200,"+54  (02656) 477-046,",,,,http://www.cabanias.com/cabs/mostrar.asp?id=ayresdelcerro,,-32.373502,-64.9959143,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2618985616,2026-09-01
Cabañas Aldea Blanca,chalet,"Avenida Norte 2207, Villa de Merlo","+54 (0266) 15-462-5614, (0266) 15-462-5697",,,,https://aldea-blanca.com.ar/,,-32.3263727,-65.0155309,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2619004496,2026-09-01
Cabañas La Belén,chalet,"Presbítero Becerra 420, Villa de Merlo",+54 2656 478767,,,,http://www.xn--cabaaslabelen-lkb.com.ar,,-32.3524677,-65.0130871,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2619008183,2026-09-01
Cabañas Escondidas,chalet,,+54 2656 47 8177,,,,http://www.cabanias.com/cabs/mostrar.asp?id=escondidas,,-32.3556436,-64.9608089,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2624797003,2026-09-01
Cabañas Los Nonos,chalet,Bagualeros de la luna,+54 9 266 450 8722,,,,cabanaslosnonos.com.ar,,-32.4122826,-64.9957743,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2624813976,2026-09-01
Cabañas Angeland,chalet,,+54 (0266) 15-454-1766 / (0266) 15-463-7599 / (02656) 479-314,,,,http://www.cabanias.com/cabs/mostrar.asp?id=angeland,,-32.4053457,-65.0093754,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2625968160,2026-09-01
Casa Nazareth,chalet,Picaflor 2260,(02656) 476-033; (0266) 15-461-2194,,,,http://www.cabanias.com/cabs/mostrar.asp?id=nazareth,,-32.3502815,-64.9806682,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2625984111,2026-09-01
Ayflo Cabañas,chalet,Las Lechuzas 50,"+54 (02656) 47-9106, (0266) 15-433-8773,",,,,https://www.ayflo.com.ar/,,-32.4101554,-65.0073704,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2625997827,2026-09-01
Chalets ZB I y II,chalet,"Las Tres Marias 1282, Villa de Merlo",+54 2656 478435,,,,http://www.cabanias.com/cabs/mostrar.asp?id=zb,,-32.3512606,-64.9973227,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2633775562,2026-09-01
Cabañas Samana Huasi,chalet,"Avenida Dos Venados 757, Villa de Merlo",+54 2656 475880,,,,http://www.cabanias.com/cabs/mostrar.asp?id=samanahuasi-merlo,,-32.3426313,-64.9965588,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2633807993,2026-09-01
Parque Golf Hotel,hotel,Avenida del Sol 821,,,,,,,-32.3468377,-65.001735,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2705663279,2026-09-01
Cabañas Unquen,chalet,,011 1144355026,,adriana.rimoldi@gmail.com,,www.cabaniasunquen.com.ar,Accesible,-32.4135691,-65.0033505,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2729608345,2026-09-01
Posada Los Antiguos,chalet,"Barro Azul 363, Cerro de Oro",,,,,https://www.argentinaturismo.com.ar/posadalosantiguos/,,-32.3767964,-64.9848256,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2866060447,2026-09-01
Complejo Los Tabaquillos,chalet,"Padre Pablo Tissera 385, Villa de Merlo",+54 2656 47 4598,,,,http://www.complejotabaquillos.com.ar/,,-32.3435227,-65.0077125,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/2965780389,2026-09-01
Cabañas El Ruiseñor,chalet,,,,,,,,-32.3480869,-65.006888,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/3282048580,2026-09-01
A Mi Manera,chalet,"Anselmo Tisera 2250, Merlo",,,,,,,-32.3408801,-64.9856735,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/3308451355,2026-09-01
Departamentos Los Almendros,hotel,"Los Almendros 175, Villa de Merlo",+54 2656 476181,,alquilemerlo@gmail.com,,https://departamentoslosalmendros.com/,,-32.3446684,-65.010619,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/3536876038,2026-09-01
La Ludmila,hotel,,,,,,,,-32.3489562,-64.9979519,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/3724109318,2026-09-01
Cabañas Cerro Dorado,chalet,Camino de Damiana Vega 943,+54 2656 47 7466,,cerrodorado@yahoo.com.ar,,http://www.cerrodorado.com.ar,,-32.3678669,-64.9813016,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/4303707095,2026-09-01
Cabañas Inti Huasi,chalet,,,,,,,,-32.3423995,-64.9824233,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/4345759911,2026-09-01
Flamenco,hotel,,,,,,,,-32.3405686,-64.9967085,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/4414579794,2026-09-01
Cabañas Monteolivos,chalet,"Avenida José Alberto Mercau 321, Villa de Merlo",,,,,https://www.monteolivos.com.ar/,,-32.3485338,-64.996235,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/4646284189,2026-09-01
Cabañas Cohue,chalet,"Chumamaya 1080, Villa de Merlo",,,,,,,-32.3398797,-64.997756,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5005757421,2026-09-01
Apart Hotel Piscu Yaco,hotel,"Avenida del Sol, Villa de Merlo",,,,,,,-32.3458003,-65.0103442,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5285610301,2026-09-01
Camping Calaguala,camp_site,,,,,,,,-32.3696272,-64.9845412,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5455168505,2026-09-01
Complejo Cerro de Oro,hotel,,,,,,,,-32.3727625,-64.9899405,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5455168506,2026-09-01
Cerro de Oro,camp_site,,,,,,,,-32.3726016,-64.9900545,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5455168507,2026-09-01
Camping Municipal de Merlo,camp_site,,,,,,,,-32.3531311,-64.9692178,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5455169432,2026-09-01
Clima Sol Hotel,hotel,"Avenida del Deporte 437, Villa de Merlo",,,,,https://www.grupoclima.com.ar/clima-sol-2,,-32.3462382,-65.0043091,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/5766700270,2026-09-01
Mirador del Horizonte,chalet,,,,,,,,-32.4181599,-64.9842998,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/6057686986,2026-09-01
Chumamaya,chalet,,+54 2656 47 6500,,,,https://chumamaya.com,,-32.3351951,-64.9826345,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/6302457285,2026-09-01
Cabañas Balcones Apart & boutique,chalet,"Los Molles, Carpintería",+54 11 6748 0451,,,,https://www.cabañasbalcones.com.ar,,-32.4171487,-64.9832716,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/6563690011,2026-09-01
La Posada Del Tiempo,hotel,Avenida Eva Duarte 180,,,,,,,-32.3504175,-65.0042147,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/6946329653,2026-09-01
Dormis de Agustin,hostel,,,,,,,,-32.3105381,-65.0334728,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/7788604039,2026-09-01
Cabañas de los Comechingones,chalet,,,,,,,,-32.3669099,-64.9712308,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/8042312638,2026-09-01
Blla Vista,chalet,"Lola Mora, Villa de Merlo",+54 9 266 4842096,,,,http://www.alpiedelmorro.com.ar/,,-32.3453544,-64.9883768,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/9685699193,2026-09-01
El Campo Departamentos,chalet,,,,,,,,-32.3850805,-65.0153077,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/10917398559,2026-09-01
Hotel Torres del Sol,hotel,,,,,,,,-32.3475015,-65.0000245,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/11330005330,2026-09-01
Hotel Cana Blaya,hotel,,,,,,,,-32.3470143,-65.0001265,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/11330005331,2026-09-01
Hotel Ayres del Bosque,hotel,,,,,,,,-32.3463095,-64.9994343,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/11330005332,2026-09-01
Hotel Lida,hotel,,,,,,,,-32.3496906,-64.9824341,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/11330030847,2026-09-01
Cabañas Sagrado Corazon Y Corazón De Maria,chalet,Sargento Baigorria,+54 9 266 422 3848,,,,https://cabanascorazondemaria.hotelonia.com/,,-32.3386656,-65.0051878,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/11330035497,2026-09-01
La Herradura Village,chalet,,,,,,,,-32.334113,-64.9965069,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/11330050646,2026-09-01
Camping Municipal de Carpinteria,camp_site,,,,,,,,-32.4121709,-64.9786806,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/12610667073,2026-09-01
Merlin,guest_house,,,,,,,,-32.3161854,-64.9926743,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/12965535932,2026-09-01
Las Tres Marias,chalet,,266510057,,,,,,-32.3420096,-65.0058434,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/12994653164,2026-09-01
Entrepiedras,chalet,,,,,,,,-32.3449405,-64.9911538,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/13040036802,2026-09-01
Rahuen,hotel,,,,,,,,-32.4187142,-64.9844431,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/13269298901,2026-09-01
Pisis,chalet,"Avenida del Ciprés, Villa de Merlo",,,,,,,-32.3424451,-65.007719,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/13277691511,2026-09-01
Kalimera,hostel,"Avenida del Ciprés 235, Villa de Merlo",,,,,,,-32.3424747,-65.0064483,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/13281307846,2026-09-01
margaritas,chalet,"Avenida del Ciprés, Villa de Merlo",,,,,,,-32.3422592,-65.0102046,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/13283252724,2026-09-01
los estribos,chalet,"Avenida del Deporte, Villa de Merlo",,,,,,,-32.3398546,-65.0040942,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/node/13286226328,2026-09-01
Altos del Sol,chalet,,,,,,https://www.altosdelsol.com/merlosanluis.htm,,-32.3412036,-64.9934003,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/201850098,2026-09-01
Hotel Casablanca,hotel,,,,,,,,-32.3460479,-65.0124259,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/251996642,2026-09-01
Camping Lyon,camp_site,"Los Teros 220, Villa de Merlo",+542656473829,,info@lyonmerlo.com,,https://lyonmerlo.com,,-32.3490089,-64.9665758,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/352321887,2026-09-01
Habitaciones de campo,hostel,,,,,,,,-32.3107812,-64.9835605,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/464130372,2026-09-01
Complejo La Quinta Resort,hotel,Román González 500,+54 2656 47 9598,,info@laquintaresort.net,,https://www.laquintaresort.net/,,-32.3163071,-65.0198673,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/552932558,2026-09-01
El Margaridas,chalet,"Camino del Cerro 782, Cerro de Oro",,,,,,,-32.3752966,-64.9892586,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/834382292,2026-09-01
Edificio central,chalet,,,,,,,,-32.3492746,-64.9970234,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/1113439893,2026-09-01
Altos de Merlos Suite,hotel,"Avenida del Sol, Villa de Merlo",+54 2656 47 5318,,info@altosdemerlosuites.com,,https://altosdemerlosuites.com/,,-32.3480547,-64.9963318,solo_openstreetmap,Candidato no confirmado (aparece solo en OpenStreetMap),,,https://www.openstreetmap.org/way/1113439899,2026-09-01
