nombre_publicado,categoria_publicada,direccion_raw,telefonos_raw,email_raw,instagram_raw,web_raw,etiquetas_raw,url_origen,fecha_extraccion,fuente,latitud,longitud,osm_id,osm_tipo_elemento
Posada Los Antiguos,chalet,"Barro Azul 363, Cerro de Oro",,,,https://www.argentinaturismo.com.ar/posadalosantiguos/,,https://www.openstreetmap.org/node/2866060447,2026-09-01,openstreetmap,-32.3767964,-64.9848256,2866060447,node
Complejo Los Tabaquillos,chalet,"Padre Pablo Tissera 385, Villa de Merlo",+54 2656 47 4598,,,http://www.complejotabaquillos.com.ar/,,https://www.openstreetmap.org/node/2965780389,2026-09-01,openstreetmap,-32.3435227,-65.0077125,2965780389,node
Posada Los Antiguos,chalet,,,,,,,https://www.openstreetmap.org/node/2979411785,2026-09-01,openstreetmap,-32.383205,-65.0150008,2979411785,node
Cabañas El Ruiseñor,chalet,,,,,,,https://www.openstreetmap.org/node/3282048580,2026-09-01,openstreetmap,-32.3480869,-65.006888,3282048580,node
A Mi Manera,chalet,"Anselmo Tisera 2250, Merlo",,,,,,https://www.openstreetmap.org/node/3308451355,2026-09-01,openstreetmap,-32.3408801,-64.9856735,3308451355,node
Departamentos Los Almendros,hotel,"Los Almendros 175, Villa de Merlo",+54 2656 476181,alquilemerlo@gmail.com,,https://departamentoslosalmendros.com/,,https://www.openstreetmap.org/node/3536876038,2026-09-01,openstreetmap,-32.3446684,-65.010619,3536876038,node
La Ludmila,hotel,,,,,,,https://www.openstreetmap.org/node/3724109318,2026-09-01,openstreetmap,-32.3489562,-64.9979519,3724109318,node
Cabañas Cerro Dorado,chalet,Camino de Damiana Vega 943,+54 2656 47 7466,cerrodorado@yahoo.com.ar,,http://www.cerrodorado.com.ar,,https://www.openstreetmap.org/node/4303707095,2026-09-01,openstreetmap,-32.3678669,-64.9813016,4303707095,node
Cabañas Inti Huasi,chalet,,,,,,,https://www.openstreetmap.org/node/4345759911,2026-09-01,openstreetmap,-32.3423995,-64.9824233,4345759911,node
Flamenco,hotel,,,,,,,https://www.openstreetmap.org/node/4414579794,2026-09-01,openstreetmap,-32.3405686,-64.9967085,4414579794,node
Cabañas de Colores,hotel,,02653477782,,,,,https://www.openstreetmap.org/node/4636442990,2026-09-01,openstreetmap,-32.4156128,-65.0087758,4636442990,node
Cabañas Monteolivos,chalet,"Avenida José Alberto Mercau 321, Villa de Merlo",,,,https://www.monteolivos.com.ar/,,https://www.openstreetmap.org/node/4646284189,2026-09-01,openstreetmap,-32.3485338,-64.996235,4646284189,node
Cabañas Cohue,chalet,"Chumamaya 1080, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/5005757421,2026-09-01,openstreetmap,-32.3398797,-64.997756,5005757421,node
Apart Hotel Piscu Yaco,hotel,"Avenida del Sol, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/5285610301,2026-09-01,openstreetmap,-32.3458003,-65.0103442,5285610301,node
Camping Calaguala,camp_site,,,,,,,https://www.openstreetmap.org/node/5455168505,2026-09-01,openstreetmap,-32.3696272,-64.9845412,5455168505,node
Complejo Cerro de Oro,hotel,,,,,,,https://www.openstreetmap.org/node/5455168506,2026-09-01,openstreetmap,-32.3727625,-64.9899405,5455168506,node
Cerro de Oro,camp_site,,,,,,,https://www.openstreetmap.org/node/5455168507,2026-09-01,openstreetmap,-32.3726016,-64.9900545,5455168507,node
Camping Municipal de Merlo,camp_site,,,,,,,https://www.openstreetmap.org/node/5455169432,2026-09-01,openstreetmap,-32.3531311,-64.9692178,5455169432,node
Posada Los Alamos,hotel,"Neptuno 513, Villa de Merlo",+54 2656 474727,,,https://www.losalamosposada.com.ar/,,https://www.openstreetmap.org/node/5464661523,2026-09-01,openstreetmap,-32.3479997,-65.0051371,5464661523,node
Clima Sol Hotel,hotel,"Avenida del Deporte 437, Villa de Merlo",,,,https://www.grupoclima.com.ar/clima-sol-2,,https://www.openstreetmap.org/node/5766700270,2026-09-01,openstreetmap,-32.3462382,-65.0043091,5766700270,node
Mirador del Horizonte,chalet,,,,,,,https://www.openstreetmap.org/node/6057686986,2026-09-01,openstreetmap,-32.4181599,-64.9842998,6057686986,node
Chumamaya,chalet,,+54 2656 47 6500,,,https://chumamaya.com,,https://www.openstreetmap.org/node/6302457285,2026-09-01,openstreetmap,-32.3351951,-64.9826345,6302457285,node
,chalet,,,,,,,https://www.openstreetmap.org/node/6316629686,2026-09-01,openstreetmap,-32.4063846,-65.0128074,6316629686,node
Cabañas Balcones Apart & boutique,chalet,"Los Molles, Carpintería",+54 11 6748 0451,,,https://www.cabañasbalcones.com.ar,,https://www.openstreetmap.org/node/6563690011,2026-09-01,openstreetmap,-32.4171487,-64.9832716,6563690011,node
Hotel El Cortijo,hotel,"Padre Pablo Tissera 1200, Merlo",,,,,,https://www.openstreetmap.org/node/6853537253,2026-09-01,openstreetmap,-32.3444426,-64.9980402,6853537253,node
La Posada Del Tiempo,hotel,Avenida Eva Duarte 180,,,,,,https://www.openstreetmap.org/node/6946329653,2026-09-01,openstreetmap,-32.3504175,-65.0042147,6946329653,node
Dormis de Agustin,hostel,,,,,,,https://www.openstreetmap.org/node/7788604039,2026-09-01,openstreetmap,-32.3105381,-65.0334728,7788604039,node
Cabañas de los Comechingones,chalet,,,,,,,https://www.openstreetmap.org/node/8042312638,2026-09-01,openstreetmap,-32.3669099,-64.9712308,8042312638,node
El Refugio de los Pajaros,chalet,"Lola Mora, Villa de Merlo",+54 9 266 4321368,,,https://www.argentinaturismo.com.ar/refugiodelospajaros/,,https://www.openstreetmap.org/node/9685699192,2026-09-01,openstreetmap,-32.3445547,-64.9916553,9685699192,node
Blla Vista,chalet,"Lola Mora, Villa de Merlo",+54 9 266 4842096,,,http://www.alpiedelmorro.com.ar/,,https://www.openstreetmap.org/node/9685699193,2026-09-01,openstreetmap,-32.3453544,-64.9883768,9685699193,node
El Campo Departamentos,chalet,,,,,,,https://www.openstreetmap.org/node/10917398559,2026-09-01,openstreetmap,-32.3850805,-65.0153077,10917398559,node
Cabañas Euskadi,chalet,,,,,,,https://www.openstreetmap.org/node/11329997225,2026-09-01,openstreetmap,-32.3508426,-65.0004624,11329997225,node
Hotel Torres del Sol,hotel,,,,,,,https://www.openstreetmap.org/node/11330005330,2026-09-01,openstreetmap,-32.3475015,-65.0000245,11330005330,node
Hotel Cana Blaya,hotel,,,,,,,https://www.openstreetmap.org/node/11330005331,2026-09-01,openstreetmap,-32.3470143,-65.0001265,11330005331,node
Hotel Ayres del Bosque,hotel,,,,,,,https://www.openstreetmap.org/node/11330005332,2026-09-01,openstreetmap,-32.3463095,-64.9994343,11330005332,node
Hotel Lida,hotel,,,,,,,https://www.openstreetmap.org/node/11330030847,2026-09-01,openstreetmap,-32.3496906,-64.9824341,11330030847,node
Cabañas Sagrado Corazon Y Corazón De Maria,chalet,Sargento Baigorria,+54 9 266 422 3848,,,https://cabanascorazondemaria.hotelonia.com/,,https://www.openstreetmap.org/node/11330035497,2026-09-01,openstreetmap,-32.3386656,-65.0051878,11330035497,node
La Herradura Village,chalet,,,,,,,https://www.openstreetmap.org/node/11330050646,2026-09-01,openstreetmap,-32.334113,-64.9965069,11330050646,node
A Hotel Deco Suites,hotel,Juan Pablo Xxlll 1173,,,ahoteldecosuites,https://www.instagram.com/ahoteldecosuites?igsh=MzRlODBiNWFlZA==,,https://www.openstreetmap.org/node/11504194969,2026-09-01,openstreetmap,-32.3651823,-64.9940082,11504194969,node
Camping Municipal de Carpinteria,camp_site,,,,,,,https://www.openstreetmap.org/node/12610667073,2026-09-01,openstreetmap,-32.4121709,-64.9786806,12610667073,node
Merlin,guest_house,,,,,,,https://www.openstreetmap.org/node/12965535932,2026-09-01,openstreetmap,-32.3161854,-64.9926743,12965535932,node
,camp_site,,,,,,,https://www.openstreetmap.org/node/12980419105,2026-09-01,openstreetmap,-32.3101793,-65.0007976,12980419105,node
Las Tres Marias,chalet,,266510057,,,,,https://www.openstreetmap.org/node/12994653164,2026-09-01,openstreetmap,-32.3420096,-65.0058434,12994653164,node
Cabańas Rincon de verde,chalet,,,,,,,https://www.openstreetmap.org/node/13039962795,2026-09-01,openstreetmap,-32.3454319,-64.9916559,13039962795,node
Entrepiedras,chalet,,,,,,,https://www.openstreetmap.org/node/13040036802,2026-09-01,openstreetmap,-32.3449405,-64.9911538,13040036802,node
AOMA Terrazas del Rincón,hotel,,,,,,,https://www.openstreetmap.org/node/13040337716,2026-09-01,openstreetmap,-32.346801,-64.9914677,13040337716,node
Rahuen,hotel,,,,,,,https://www.openstreetmap.org/node/13269298901,2026-09-01,openstreetmap,-32.4187142,-64.9844431,13269298901,node
Rahuen,hotel,Los Espinillos 55,+54 266 401 6626,,,www.hotelrahuen.com.ar,,https://www.openstreetmap.org/node/13273878275,2026-09-01,openstreetmap,-32.4187291,-64.9844237,13273878275,node
Rahuen,hotel,Los Espinillos,,,,,,https://www.openstreetmap.org/node/13276816101,2026-09-01,openstreetmap,-32.4187287,-64.9844258,13276816101,node
Pisis,chalet,"Avenida del Ciprés, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/13277691511,2026-09-01,openstreetmap,-32.3424451,-65.007719,13277691511,node
Kalimera,hostel,"Avenida del Ciprés 235, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/13281307846,2026-09-01,openstreetmap,-32.3424747,-65.0064483,13281307846,node
margaritas,chalet,"Avenida del Ciprés, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/13283252724,2026-09-01,openstreetmap,-32.3422592,-65.0102046,13283252724,node
los estribos,chalet,"Avenida del Deporte, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/13286226328,2026-09-01,openstreetmap,-32.3398546,-65.0040942,13286226328,node
morada de zorro,chalet,"Avenida del Deporte, Villa de Merlo",,,,,,https://www.openstreetmap.org/node/13286236466,2026-09-01,openstreetmap,-32.3383061,-65.0037913,13286236466,node
Altos del Sol,chalet,,,,,https://www.altosdelsol.com/merlosanluis.htm,,https://www.openstreetmap.org/way/201850098,2026-09-01,openstreetmap,-32.3412036,-64.9934003,201850098,way
Hotel Casablanca,hotel,,,,,,,https://www.openstreetmap.org/way/251996642,2026-09-01,openstreetmap,-32.3460479,-65.0124259,251996642,way
Haward Johnson,hotel,,,,,,,https://www.openstreetmap.org/way/252566420,2026-09-01,openstreetmap,-32.3674573,-65.0178732,252566420,way
El Viejo Algarrobo - Hostería Serrana,hotel,"Chumamaya 2476, Merlo",+54 11 5701 0486,,,https://www.elviejoalgarrobo.com.ar/,,https://www.openstreetmap.org/way/324098853,2026-09-01,openstreetmap,-32.3401539,-64.9863783,324098853,way
Camping Lyon,camp_site,"Los Teros 220, Villa de Merlo",+542656473829,info@lyonmerlo.com,,https://lyonmerlo.com,,https://www.openstreetmap.org/way/352321887,2026-09-01,openstreetmap,-32.3490089,-64.9665758,352321887,way
Habitaciones de campo,hostel,,,,,,,https://www.openstreetmap.org/way/464130372,2026-09-01,openstreetmap,-32.3107812,-64.9835605,464130372,way
Epic Hotel Villa de Merlo,hotel,,,,,,,https://www.openstreetmap.org/way/500254081,2026-09-01,openstreetmap,-32.3484643,-65.0038866,500254081,way
Complejo La Quinta Resort,hotel,Román González 500,+54 2656 47 9598,info@laquintaresort.net,,https://www.laquintaresort.net/,,https://www.openstreetmap.org/way/552932558,2026-09-01,openstreetmap,-32.3163071,-65.0198673,552932558,way
El Margaridas,chalet,"Camino del Cerro 782, Cerro de Oro",,,,,,https://www.openstreetmap.org/way/834382292,2026-09-01,openstreetmap,-32.3752966,-64.9892586,834382292,way
Edificio central,chalet,,,,,,,https://www.openstreetmap.org/way/1113439893,2026-09-01,openstreetmap,-32.3492746,-64.9970234,1113439893,way
,chalet,,,,,,,https://www.openstreetmap.org/way/1113439894,2026-09-01,openstreetmap,-32.349347,-64.9966611,1113439894,way
,chalet,,,,,,,https://www.openstreetmap.org/way/1113439895,2026-09-01,openstreetmap,-32.3492139,-64.996622,1113439895,way
Altos de Merlos Suite,hotel,"Avenida del Sol, Villa de Merlo",+54 2656 47 5318,info@altosdemerlosuites.com,,https://altosdemerlosuites.com/,,https://www.openstreetmap.org/way/1113439899,2026-09-01,openstreetmap,-32.3480547,-64.9963318,1113439899,way
Hotel Algorrobo,hotel,,,,,,,https://www.openstreetmap.org/way/1408688621,2026-09-01,openstreetmap,-32.3476367,-64.9981583,1408688621,way
,hotel,,,,,,,https://www.openstreetmap.org/way/1446822909,2026-09-01,openstreetmap,-32.3465991,-65.0095233,1446822909,way
,hotel,,,,,,,https://www.openstreetmap.org/way/1446827085,2026-09-01,openstreetmap,-32.3442254,-65.0105411,1446827085,way
,hotel,,,,,,,https://www.openstreetmap.org/way/1446827087,2026-09-01,openstreetmap,-32.3443295,-65.0107877,1446827087,way
,hotel,,,,,,,https://www.openstreetmap.org/way/1446827088,2026-09-01,openstreetmap,-32.3443781,-65.0109776,1446827088,way
,hotel,,,,,,,https://www.openstreetmap.org/way/1446827089,2026-09-01,openstreetmap,-32.344404,-65.0105191,1446827089,way
